Special,Special,(Astrological) Mutable (Virtue),"The Mysteries, Revised Edition",37-38 
Special,Special,Blood of Heroes,Houses of Hermes: True Lineages,103-104 
Special,Special,Devil Child,Realms of Power: The Infernal,"85, 100 "
Special,Special,Diabolist,Realms of Power: The Infernal,"85, 112 "
Special,Special,Faerie Doctor,Realms of Power: Faerie,112
Special,Special,The Gift,Ars Magica Fifth Edition,"36, 43 "
Special,Special,Kabbalist,Realms of Power: The Divine,142
Special,Special,Maestro,Art & Academe,134
Special,Special,Naphil,Realms of Power: The Divine,66
Special,Special,Perfectus/Perfecta,Realms of Power: The Divine,94
Special,Special,Summoner,Realms of Power: The Infernal,"86-87, 119 "
Special,Special,Spirit Votary,Realms of Power: Magic,88
Special,Special,Zahid,Realms of Power: The Divine,117-118 
Child,Major,Protection from Diseases,Apprentices,12
Hermetic,Major,Ars Notoria,Realms of Power: The Divine,"92, 93, 97-100"
Hermetic,Major,Awaken Device,Ancient Magic,80
Hermetic,Major,Chthonic Magic,Realms of Power: The Infernal,"83, 91, 123-124"
Hermetic,Major,Craft Automata,Houses of Hermes: Mystery Cults,136
Hermetic,Major,Diedne Magic,Ars Magica Fifth Edition,41
Hermetic,Major,Elemental Magic,Ars Magica Fifth Edition,41
Hermetic,Major,Faerie Raised Magic,Houses of Hermes: Mystery Cults,86
Hermetic,Major,Flawless Magic,Ars Magica Fifth Edition,42
Hermetic,Major,Flexible Formulaic Magic,Ars Magica Fifth Edition,42
Hermetic,Major,Gentle Gift,Ars Magica Fifth Edition,42
Hermetic,Major,Hermetic Realm Initiation,The Cradle and the Crescent,44
Hermetic,Major,Hermetic Rune Magic,Ancient Magic,139
Hermetic,Major,Hermetic Sorcery,Realms of Power: The Infernal,85
Hermetic,Major,Holy Magic,Realms of Power: The Divine,"34, 36, 66-69 "
Hermetic,Major,Hyperborean Descent,Ancient Magic,104
Hermetic,Major,Leper Magus,Houses of Hermes: Societates,93-94 
Hermetic,Major,Life-Linked Spontaneous Magic,Ars Magica Fifth Edition,44-45 
Hermetic,Major,Major Magical Focus,Ars Magica Fifth Edition,45-46 
Hermetic,Major,Major Magical Focus (Sign/Planet),"The Mysteries, Revised Edition",36-37 
Hermetic,Major,Mercurian Magic,Ars Magica Fifth Edition,46
Hermetic,Major,Mythic Blood,Ars Magica Fifth Edition,47
Hermetic,Major,Mythic Blood (Zmey),Houses of Hermes: True Lineages,143
Hermetic,Major,Potent Magic,Houses of Hermes: Mystery Cults,6
Hermetic,Major,Potent Magic,"The Mysteries, Revised Edition",31-32 
Hermetic,Major,Potent Magic (Sign/Planet),"The Mysteries, Revised Edition",36-37 
Hermetic,Major,Scientates Suleimanis,The Cradle and the Crescent,44
Hermetic,Major,Secondary Insight,Ars Magica Fifth Edition,48
Hermetic,Major,Sense of the Mystic,"Hedge Magic, Revised Edition",53
Hermetic,Major,Tamed Magic,Houses of Hermes: True Lineages,107
Hermetic,Major,True Understanding of the Realms,Legends of Hermes,15
Hermetic,Major,Twilight Mastery,Guardians of the Forests: The Rhine Tribunal,39
Heroic,Major,Charmed Life,Houses of Hermes: True Lineages,104
Heroic,Major,Invisible to Magic,Houses of Hermes: True Lineages,106
Heroic,Major,Mythic Mimicry,Houses of Hermes: True Lineages,107
Heroic,Major,Vis Sensitivity,Houses of Hermes: True Lineages,107-108 
Mystery,Major,Animae Magic,Houses of Hermes: Mystery Cults,"92, 94-95 "
Mystery,Major,Ascendancy to the Hall of Heroes,"The Mysteries, Revised Edition",82-86 
Mystery,Major,Automata,Houses of Hermes: Mystery Cults,128-131 
Mystery,Major,Becoming,Houses of Hermes: Mystery Cults,93-96 
Mystery,Major,Bind Curse,Houses of Hermes: Mystery Cults,131-134 
Mystery,Major,Bind Magical Creatures,Houses of Hermes: Mystery Cults,134-135 
Mystery,Major,Celestial Magic,"The Mysteries, Revised Edition",48-51 
Mystery,Major,Consummate Talisman,"The Mysteries, Revised Edition",90
Mystery,Major,Gifts of Gayomart,The Cradle and the Crescent,100
Mystery,Major,Glamour,Houses of Hermes: Mystery Cults,101-102 
Mystery,Major,The Great Elixir,"The Mysteries, Revised Edition",43-44 
Mystery,Major,Guardian of Nature,Houses of Hermes: Mystery Cults,105-106 
Mystery,Major,Immortal Ascension as Repose,Houses of Hermes: Mystery Cults,"71, 72 "
Mystery,Major,Item Attunement,Houses of Hermes: Mystery Cults,135
Mystery,Major,Living Ghost,"The Mysteries, Revised Edition",70-74 
Mystery,Major,Mazdean Astrology,The Cradle and the Crescent,98-99 
Mystery,Major,Mystery of the Anima,Houses of Hermes: Mystery Cults,32
Mystery,Major,Mystery of the Chimera,Houses of Hermes: Mystery Cults,31-32 
Mystery,Major,Mystery of the Epitome,Houses of Hermes: Mystery Cults,30-31 
Mystery,Major,Perpetuity,Houses of Hermes: Mystery Cults,102
Mystery,Major,Philosophic Alchemy,"The Mysteries, Revised Edition",40-41 
Mystery,Major,Saoshyant’s Elixir,The Cradle and the Crescent,99-100 
Mystery,Major,Sortes Virgilianae,Rival Magic,74
Mystery,Major,Station from Which to Ignore the Real,Houses of Hermes: Mystery Cults,"64,65-66 "
Mystery,Major,Station of Blood and Bronze,Houses of Hermes: Mystery Cults,"67, 68 "
Mystery,Major,Station of Differentiation of Seeming,Houses of Hermes: Mystery Cults,64
Mystery,Major,Station of Exaltation,Houses of Hermes: Mystery Cults,71-72 
Mystery,Major,Station of Expression,Houses of Hermes: Mystery Cults,71
Mystery,Major,Station of Golden Cider,Houses of Hermes: Mystery Cults,"67, 69-70 "
Mystery,Major,Station of Passing Through Seeming,Houses of Hermes: Mystery Cults,"64, 65 "
Mystery,Major,Station of Perfect Economy of Movement,Houses of Hermes: Mystery Cults,"61, 62-63 "
Mystery,Major,Station of Rice and Honey,Houses of Hermes: Mystery Cults,70-71 
Mystery,Major,Station of Service to Harmony,Houses of Hermes: Mystery Cults,"70, 71 "
Mystery,Major,Station of Spiritual Nourishment,Houses of Hermes: Mystery Cults,"61, 62 "
Mystery,Major,Station of the Eater of Sin,Houses of Hermes: Mystery Cults,67-68 
Mystery,Major,Station of the Microcosm,Houses of Hermes: Mystery Cults,"61, 63 "
Mystery,Major,Station of the Perfect Tool,Houses of Hermes: Mystery Cults,61
Mystery,Major,Station of True Sight,Houses of Hermes: Mystery Cults,64
Mystery,Major,Station of Vivid Memories from Objects,Houses of Hermes: Mystery Cults,64-65 
Mystery,Major,Station that Charms the Elements,Houses of Hermes: Mystery Cults,"67,69 "
Mystery,Major,Station that Repels and Attracts Elements,Houses of Hermes: Mystery Cults,"67, 68 "
Mystery,Major,Story Magic,Houses of Hermes: Mystery Cults,98
Mystery,Major,Symbolic Magic,Houses of Hermes: Mystery Cults,98-99 
Mystery,Major,Threshold of Corporeal Repose,Houses of Hermes: Mystery Cults,"61, 63 "
Mystery,Major,Wilding,Houses of Hermes: Mystery Cults,104-105 
Social Status,Major,Archieunuch,The Sundered Eagle: The Theban Tribunal,38
Social Status,Major,Capo,City and Guild,108
Social Status,Major,Cathedral School Master,Art & Academe,91
Social Status,Major,Commander,The Church,125
Social Status,Major,Doctor,Realms of Power: The Divine,136
Social Status,Major,Doctor in (Faculty),Art & Academe,91
Social Status,Major,Great Noble,Lords of Men,31
Social Status,Major,Guild Dean,City and Guild,53
Social Status,Major,Landed Noble,Ars Magica Fifth Edition,44
Social Status,Major,Lasiq,The Cradle and the Crescent,164
Social Status,Major,Magister in Artibus,Ars Magica Fifth Edition,45
Social Status,Major,Magister in Artibus,Art & Academe,91
Social Status,Major,Magister in Medicina,Art & Academe,56
Social Status,Major,Muqta‘,Realms of Power: The Divine,115
Social Status,Major,Partner,City and Guild,109
Social Status,Major,Redcap,Ars Magica Fifth Edition,48
Social Status,Major,Senior Clergy,Realms of Power: The Divine,93
Social Status,Major,Senior Clergy,The Church,25
Social Status,Major,Senior Master,City and Guild,53
Social Status,Major,Senior Soqotran Sorcerer,Rival Magic,114
Social Status,Major,Venditor,Houses of Hermes: Mystery Cults,136
Supernatural,Major,Ablating,Realms of Power: The Infernal,"82-83, 115-117 "
Supernatural,Major,Adjuration,Realms of Power: The Divine,"34, 36, 48-49"
Supernatural,Major,Adjuration,The Cradle and the Crescent,96
Supernatural,Major,Amorphous,Realms of Power: The Infernal,83
Supernatural,Major,Ars Notoria,Realms of Power: The Divine,"92, 93, 97-100 "
Supernatural,Major,Ban Art,Against The Dark: The Transylvanian Tribunal,134
Supernatural,Major,Banishing,Houses of Hermes: Societates,118
Supernatural,Major,Bee King,The Lion and the Lily: The Normandy Tribunal,75
Supernatural,Major,Binding,Realms of Power: The Infernal,"83, 117 "
Supernatural,Major,Blessing,Realms of Power: The Divine,"34, 36, 49-51 "
Supernatural,Major,Blood of the Nephilim,Realms of Power: The Divine,34
Supernatural,Major,Cailleach Magic,"Hedge Magic, Revised Edition",56
Supernatural,Major,Canaanite Necromancy,Ancient Magic,30
Supernatural,Major,Ceremony (infernal),Realms of Power: The Infernal,"84, 91 "
Supernatural,Major,Chthonic Magic,Realms of Power: The Infernal,"83, 91, 123-124 "
Supernatural,Major,Command Animals,Realms of Power: The Infernal,83
Supernatural,Major,Commanding,Realms of Power: The Infernal,"83, 117-119 "
Supernatural,Major,Composer of Power,Realms of Power: Magic,43
Supernatural,Major,Comprehend Magic,Houses of Hermes: Societates,128
Supernatural,Major,Consumption,Realms of Power: The Infernal,"83, 91, 105-106 "
Supernatural,Major,Control Fertility,Houses of Hermes: Societates,105
Supernatural,Major,Controlling,"Hedge Magic, Revised Edition",19
Supernatural,Major,Corruption,Realms of Power: The Infernal,"83, 91 "
Supernatural,Major,Craft Automata,Houses of Hermes: Mystery Cults,136
Supernatural,Major,Crafter's Healing,City and Guild,71
Supernatural,Major,Craft Magic,Houses of Hermes: Societates,131
Supernatural,Major,Curse-Throwing,Realms of Power: Faerie,112
Supernatural,Major,Cursing,Realms of Power: The Divine,"34, 36, 50-51"
Supernatural,Major,Cursing,"Hedge Magic, Revised Edition",35
Supernatural,Major,Dance that Heals,Houses of Hermes: Mystery Cults,73
Supernatural,Major,Debauchery,Realms of Power: The Infernal,"84, 91-92, 103-104 "
Supernatural,Major,Defixio Lore,Ancient Magic,43
Supernatural,Major,Demonic Blood,Realms of Power: The Infernal,84
Supernatural,Major,Dhampir,Houses of Hermes: True Lineages,141-142
Supernatural,Major,Dhampir,Against The Dark: The Transylvanian Tribunal,133
