Special,Special,(Astrological) Mutable (Flaw),"The Mysteries, Revised Edition",37-38 
Child,Major,Infatuation,Apprentices,11
Child,Major,Know-It-All,Apprentices,11
Child,Major,Turbulence Prone,Apprentices,12
Hermetic,Major,Blatant Gift,Ars Magica Fifth Edition,"51, 75 "
Hermetic,Major,Chaotic Magic,Ars Magica Fifth Edition,52
Hermetic,Major,Constant Expression,Legends of Hermes,16
Hermetic,Major,Deficient Technique,Ars Magica Fifth Edition,53
Hermetic,Major,Difficult Longevity Ritual,Ars Magica Fifth Edition,53
Hermetic,Major,Environmental Magic Condition,Realms of Power: Magic,48
Hermetic,Major,Homunculus Wizard,Realms of Power: Faerie,115
Hermetic,Major,Karaite Magic,Realms of Power: The Divine,137
Hermetic,Major,Magic Addiction,Ars Magica Fifth Edition,56
Hermetic,Major,Monastic Vows (Hermetic) ,Realms of Power: The Divine,93
Hermetic,Major,Necessary Condition,Ars Magica Fifth Edition,56
Hermetic,Major,Painful Magic,Ars Magica Fifth Edition,57
Hermetic,Major,Restriction,Ars Magica Fifth Edition,58
Hermetic,Major,Rigid Magic,Ars Magica Fifth Edition,58
Hermetic,Major,Short-Ranged Magic,Ars Magica Fifth Edition,59
Hermetic,Major,Study Requirement,Ars Magica Fifth Edition,59
Hermetic,Major,Suppressed Gift,Apprentices,13
Hermetic,Major,Twilight Prone,Ars Magica Fifth Edition,60
Hermetic,Major,Unnatural Magic,Houses of Hermes: Mystery Cults,87
Hermetic,Major,Unstructured Caster,Ars Magica Fifth Edition,60
Hermetic,Major,Vulnerable Magic,Houses of Hermes: Mystery Cults,87-88 
Hermetic,Major,Waster of Vis,Ars Magica Fifth Edition,61
Hermetic,Major,Weak Elemental Resistance,"Hedge Magic, Revised Edition",20
Hermetic,Major,Weak Magic Resistance,Ars Magica Fifth Edition,61
Hermetic,Major,Weak Spontaneous Magic,Ars Magica Fifth Edition,61
Personality,Major,Ambitious,Ars Magica Fifth Edition,51
Personality,Major,Avaricious,Ars Magica Fifth Edition,51
Personality,Major,Compassionate,Ars Magica Fifth Edition,52
Personality,Major,Compulsive Lying,Grogs,78
Personality,Major,Depraved,Realms of Power: The Infernal,88
Personality,Major,Driven,Ars Magica Fifth Edition,53
Personality,Major,Envious,Ars Magica Fifth Edition,54
Personality,Major,Generous,Ars Magica Fifth Edition,54
Personality,Major,Greedy,Ars Magica Fifth Edition,54
Personality,Major,Hatred,Ars Magica Fifth Edition,54
Personality,Major,Know-It-All,Apprentices,11
Personality,Major,Lecherous,Ars Magica Fifth Edition,55
Personality,Major,Meddler,Ars Magica Fifth Edition,56
Personality,Major,Optimistic,Ars Magica Fifth Edition,57
Personality,Major,Overconfident,Ars Magica Fifth Edition,57
Personality,Major,Pious,Ars Magica Fifth Edition,58
Personality,Major,Proud,Ars Magica Fifth Edition,58
Personality,Major,Rebellious,The Sundered Eagle: The Theban Tribunal,120
Personality,Major,Rebellious,The Cradle and the Crescent,144
Personality,Major,Wrathful,Ars Magica Fifth Edition,61
Social,Major,Amazonian Slave,Rival Magic,19
Social,Major,Outlaw,Ars Magica Fifth Edition,57
Social,Major,Outsider,Ars Magica Fifth Edition,57
Social,Major,Slave,Guardians of the Forests,102
Story,Major,Abandoned Apprentice,Apprentices,12
Story,Major,Bigamist,City & Guild,109
Story,Major,Bitter Mistress,Rival Magic,19
Story,Major,Black Sheep,Ars Magica Fifth Edition,51
Story,Major,Curse of Venus,Ars Magica Fifth Edition,52
Story,Major,Dark Secret,Ars Magica Fifth Edition,52
Story,Major,Dark Secret,The Church,27
Story,Major,A Deal with the Devil,Grogs,78
Story,Major,Dependent,Ars Magica Fifth Edition,53
Story,Major,Diabolic Past,Ars Magica Fifth Edition,53
Story,Major,Difficult Underlings,Ars Magica Fifth Edition,53
Story,Major,Enemies,Ars Magica Fifth Edition,53
Story,Major,Evil Destiny,Realms of Power: The Infernal,88
Story,Major,Excommunicate,Realms of Power: The Divine,93
Story,Major,Faerie Heritage,Realms of Power: Faerie,114
Story,Major,Favors,Ars Magica Fifth Edition,54
Story,Major,Feud,Ars Magica Fifth Edition,54
Story,Major,Fury,Ars Magica Fifth Edition,54
Story,Major,Greater Charm,Realms of Power: Faerie,115
Story,Major,Homunculus Wizard,Realms of Power: Faerie,115
Story,Major,Indiscreet,Ars Magica Fifth Edition,55
Story,Major,Infatuation,Apprentices,11
Story,Major,Knightly Demands,Lords of Men,31
Story,Major,Known Hedge Wizard,"Hedge Magic, Revised Edition",12
Story,Major,Known Wizard,Rival Magic,12
Story,Major,Many Marriageable Daughters,City & Guild,109
Story,Major,Mistaken Identity,Ars Magica Fifth Edition,56
Story,Major,Monastic Vows,Ars Magica Fifth Edition,56
Story,Major,Oath of Fealty,Ars Magica Fifth Edition,56-57
Story,Major,Pagan,Houses of Hermes: True Lineages,109
Story,Major,Pagan,Realms of Power: The Divine,93
Story,Major,Pagan,"Hedge Magic, Revised Edition",12
Story,Major,Pagan,Rival Magic,12
Story,Major,Pagan,Grogs,82
Story,Major,Patron,The Cradle and the Crescent,31
Story,Major,Plagued by Supernatural Entity,Ars Magica Fifth Edition,58
Story,Major,Proctor/Rector,Art & Academe,92
Story,Major,Prolonged Apprenticeship,Rival Magic,19-20 
Story,Major,Raised from the Dead,Realms of Power: The Divine,36
Story,Major, (Realm) Spirit Companion,The Cradle and the Crescent,31
Story,Major,Servant of the (Land),Realms of Power: Magic,50
Story,Major,Supernatural Nuisance,Ars Magica Fifth Edition,59
Story,Major,Suppressed Gift,Apprentices,13
Story,Major,Tainted Offspring,Realms of Power: The Infernal,89-90
Story,Major,Tormenting Master,Ars Magica Fifth Edition,59
Story,Major,Tragic Life,Realms of Power: The Infernal,90
Story,Major,True Love (NPC),Ars Magica Fifth Edition,59-60
Story,Major,Unbaptized,Realms of Power: The Divine,93
Story,Major,Unhappily Married,City & Guild,109
Story,Major,University Dean,Art & Academe,92
Story,Major,Vendetta,Houses of Hermes: Mystery Cults,136
Story,Major,Vengeful Powers,Realms of Power: The Infernal,90
Story,Major,Wanderlust,Realms of Power: Magic,50
Story,Major,Rector/Proctor,Art & Academe,92
Supernatural,Major,Age Quickly,Ars Magica Fifth Edition,51
Supernatural,Major,Age Quickly,Realms of Power: Magic,47
Supernatural,Major,Blatant Magical Air,Realms of Power: Magic,47
Supernatural,Major,Bound Spells,The Cradle and the Crescent,31
Supernatural,Major,Bound to Magic,Realms of Power: Magic,48
Supernatural,Major,Charm Magician,"Hedge Magic, Revised Edition",83
Supernatural,Major,Clumsy Magic,Rival Magic,18
Supernatural,Major,Faerie Antipathy,Realms of Power: Faerie,114
Supernatural,Major,False Power,Realms of Power: The Infernal,88-89
Supernatural,Major,Frail Magic,Rival Magic,19
Supernatural,Major,Greater Malediction,Ars Magica Fifth Edition,54
Supernatural,Major,Horrifying Appearance,Rival Magic,83
Supernatural,Major,Horrifying Appearance,The Sundered Eagle: The Theban Tribunal,120
Supernatural,Major,Hunger for (Form) Magic,Realms of Power: Magic,49
Supernatural,Major,Intervention Prone,"Hedge Magic, Revised Edition",83
Supernatural,Major,Laboratory Magician,"Hedge Magic, Revised Edition",83
Supernatural,Major,Lycanthrope,Ars Magica Fifth Edition,55
Supernatural,Major,Major Magical Deficiency,"Hedge Magic, Revised Edition",122
Supernatural,Major,Natt Thel Prone,"Hedge Magic, Revised Edition",123
Supernatural,Major,No Tattoo Magic,"Hedge Magic, Revised Edition",57
Supernatural,Major,Primitive Tradition,"Hedge Magic, Revised Edition",35
Supernatural,Major,Poor Incantation Magic,Rival Magic,18
Supernatural,Major,Raised from the Dead,Realms of Power: The Divine,36
Supernatural,Major,Rarefied Tradition,"Hedge Magic, Revised Edition",35
Supernatural,Major,Short-Lived Magic,Rival Magic,18
Supernatural,Major,Short-Lived Runes,"Hedge Magic, Revised Edition",123
Supernatural,Major,Transformation Prone,"Hedge Magic, Revised Edition",57
Supernatural,Major,Unpredictable Magic,Rival Magic,18
Supernatural,Major,Weak Elemental Resistance,"Hedge Magic, Revised Edition",20
Supernatural,Major,Weak Verbal Charms,"Hedge Magic, Revised Edition",82
Tainted,Major,False Power,Realms of Power: The Infernal,88-89 
Tainted,Major,Repellent,Realms of Power: The Infernal,89
Tainted,Major,Tainted Offspring,Realms of Power: The Infernal,89-90 
Tainted,Major,Vengeful Powers,Realms of Power: The Infernal,90
General,Major,Blind,Ars Magica Fifth Edition,52
General,Major,Crippled,Ars Magica Fifth Edition,52
General,Major,Deaf,Ars Magica Fifth Edition,52
General,Major,Dwarf,Ars Magica Fifth Edition,53
General,Major,Enfeebled,Ars Magica Fifth Edition,53
General,Major,Eremite,Realms of Power: The Divine,36
General,Major,Essential Flaw,Realms of Power: Magic,48
General,Major,The Falling Evil,Grogs,79
General,Major,Frail,Apprentices,12
General,Major,Leprosy,Houses of Hermes: Societates,94
General,Major,Low Self-Esteem,Ars Magica Fifth Edition,55
General,Major,Magical Air,Ars Magica Fifth Edition,56
General,Major,Mute,Ars Magica Fifth Edition,56
General,Major,No Hands,Ars Magica Fifth Edition,56
General,Major,Poor,Ars Magica Fifth Edition,58
General,Major,Repellent,Realms of Power: The Infernal,89
Child,Minor,Bully,Apprentices,11
Child,Minor,Dependence,Apprentices,11
Child,Minor,Infatuation,Apprentices,11
Child,Minor,Know-It-All,Apprentices,11
Child,Minor,Late Bloomer,Apprentices,12
Hermetic,Minor,(Astrological) Cyclic Magic (negative) ,"The Mysteries, Revised Edition",37
Hermetic,Minor,Bound Casting Tools,Houses of Hermes: Mystery Cults,136
Hermetic,Minor,Bound Magic,Houses of Hermes: True Lineages,108
Hermetic,Minor,Brutal Artist,Houses of Hermes: Societates,56
Hermetic,Minor,Careless Sorcerer,Ars Magica Fifth Edition,52
Hermetic,Minor,Clumsy Magic,Ars Magica Fifth Edition,52
Hermetic,Minor,Consumed Casting Tools,Houses of Hermes: Mystery Cults,136
Hermetic,Minor,Corrupted Arts,Realms of Power: The Infernal,87-88 
Hermetic,Minor,Corrupted Spells,Realms of Power: The Infernal,88
Hermetic,Minor,Creative Block,Ars Magica Fifth Edition,52
Hermetic,Minor,Cyclic Magic (negative),Ars Magica Fifth Edition,52
Hermetic,Minor,Deficient Form,Ars Magica Fifth Edition,53
